user_id,Gender,Age,SES,Country,CRA_mean,HCRU_mean,DS_sum,LS_mean
91540,F,31,2,Malaysia,4.875,5.166666666666667,1,3
91541,F,33,1,Malaysia,7,7,0,1
91543,F,32,2,Malaysia,4.875,4.666666666666667,3,3
92338,F,32,1,Malaysia,5.75,4.5,0,1.75
92373,F,32,3,Malaysia,4.5,6,4,2.75
92374,M,35,4,Malaysia,6.75,5.333333333333333,1,3
92377,M,36,3,Malaysia,7,7,0,3
92385,F,34,3,Malaysia,5.75,5.333333333333333,1,1.75
92386,F,33,2,Malaysia,5.375,5.5,2,2.75
92785,F,32,3,Malaysia,2.125,4.5,5,4
93109,F,61,2,Malaysia,6.375,6.833333333333333,6,2.25
93348,M,31,4,Malaysia,3.5,3.6666666666666665,8,3
93470,F,24,8,UK,1.625,7,5,3
